Type,Address,Providers
IPv4,14.1.64.0/20,starlink
IPv4,14.1.80.0/21,starlink
IPv4,14.1.88.0/23,starlink
IPv4,14.1.91.0/24,starlink
IPv4,14.1.92.0/22,starlink
IPv4,65.181.0.0/19,starlink
IPv4,66.9.160.0/20,starlink
IPv4,66.9.176.0/21,starlink
IPv4,66.9.184.0/22,starlink
IPv4,67.158.63.0/24,starlink
IPv4,74.244.0.0/18,starlink
IPv4,74.244.64.0/22,starlink
IPv4,74.244.68.0/23,starlink
IPv4,74.244.72.0/21,starlink
IPv4,74.244.80.0/20,starlink
IPv4,74.244.96.0/19,starlink
IPv4,74.244.128.0/17,starlink
IPv4,87.251.24.0/23,starlink
IPv4,87.251.26.0/24,starlink
IPv4,87.251.28.0/22,starlink
IPv4,91.102.180.0/22,starlink
IPv4,98.97.0.0/19,starlink
IPv4,98.97.32.0/20,starlink
IPv4,98.97.48.0/22,starlink
IPv4,98.97.52.0/23,starlink
IPv4,98.97.56.0/21,starlink
IPv4,98.97.64.0/21,starlink
IPv4,98.97.72.0/24,starlink
IPv4,98.97.74.0/23,starlink
IPv4,98.97.76.0/22,starlink
IPv4,98.97.80.0/20,starlink
IPv4,98.97.96.0/19,starlink
IPv4,98.97.128.0/19,starlink
IPv4,98.97.160.0/20,starlink
IPv4,98.97.176.0/22,starlink
IPv4,98.97.180.0/23,starlink
IPv4,98.97.182.0/24,starlink
IPv4,98.97.184.0/26,starlink
IPv4,98.97.184.128/25,starlink
IPv4,98.97.186.0/23,starlink
IPv4,98.97.188.0/22,starlink
IPv4,103.114.116.0/24,starlink
IPv4,103.184.179.0/24,starlink
IPv4,103.228.240.0/24,starlink
IPv4,103.228.242.0/23,starlink
IPv4,103.235.92.0/22,starlink
IPv4,116.91.208.0/20,starlink
IPv4,116.254.96.0/22,starlink
IPv4,129.222.0.0/18,starlink
IPv4,129.222.64.0/20,starlink
IPv4,129.222.80.0/21,starlink
IPv4,129.222.88.0/22,starlink
IPv4,129.222.94.0/23,starlink
IPv4,129.222.96.0/20,starlink
IPv4,129.222.112.0/22,starlink
IPv4,129.222.117.0/24,starlink
IPv4,129.222.118.0/23,starlink
IPv4,129.222.120.0/21,starlink
IPv4,129.222.128.0/18,starlink
IPv4,129.222.192.0/20,starlink
IPv4,129.222.208.0/21,starlink
IPv4,129.222.224.0/19,starlink
IPv4,129.224.192.0/20,starlink
IPv4,129.224.208.0/21,starlink
IPv4,129.224.216.0/22,starlink
IPv4,129.224.220.0/23,starlink
IPv4,129.224.223.0/24,starlink
IPv4,135.129.112.0/23,starlink
IPv4,135.129.114.0/24,starlink
IPv4,135.129.117.0/24,starlink
IPv4,135.129.118.0/23,starlink
IPv4,135.129.120.0/21,starlink
IPv4,135.129.244.0/24,starlink
IPv4,138.84.32.0/20,starlink
IPv4,138.84.48.0/21,starlink
IPv4,138.84.56.0/22,starlink
IPv4,138.84.61.0/24,starlink
IPv4,138.84.62.0/23,starlink
IPv4,141.109.80.0/24,starlink
IPv4,141.109.85.0/24,starlink
